Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
SNCA,23.63,0.0552,0.2335,9.1958,23.98,0.056,0.2335,9.2056,34.72,0.0787,0.2268,9.5732,WT iPSC,Rep 1
SNRNP200,74.76,0.6167,0.8249,114.6453,75.73,0.6231,0.8228,114.7254,93.73,0.7071,0.7544,115.2301,WT iPSC,Rep 1
SOCS1,59.26,0.3364,0.5676,69.5333,60.15,0.3414,0.5676,69.6068,85.31,0.4739,0.5555,72.2965,WT iPSC,Rep 1
SOD1,70.79,1.1608,1.6396,424.1048,71.79,1.1764,1.6386,424.5366,96.4,1.614,1.6743,442.4775,WT iPSC,Rep 1
SOS1,41.93,0.1493,0.356,17.8599,42.56,0.1515,0.356,17.8788,54.42,0.1461,0.2684,16.8217,WT iPSC,Rep 1
SOS2,22.31,0.0657,0.2946,7.1832,22.64,0.0667,0.2946,7.1908,29.11,0.0606,0.2081,6.6824,WT iPSC,Rep 1
SOX17,0.03,0.0001,0.1943,0.0082,0.03,0.0001,0.1943,0.0082,0.05,0.0001,0.1943,0.0086,WT iPSC,Rep 1
SOX6,0.54,0.0011,0.2108,0.1473,0.54,0.0011,0.2108,0.1474,0.75,0.0012,0.164,0.1458,WT iPSC,Rep 1
SPEN,64.59,0.3658,0.5663,46.83,65.53,0.3704,0.5653,46.8713,78.33,0.3194,0.4078,42.6333,WT iPSC,Rep 1
SPI1,0.54,0.0009,0.1754,0.1391,0.54,0.001,0.1754,0.1392,0.8,0.0014,0.1754,0.1458,WT iPSC,Rep 1
SPTBN1,76.18,0.6521,0.856,115.2261,77.26,0.6609,0.8554,115.3315,92.84,0.6961,0.7497,112.751,WT iPSC,Rep 1
SPTBN2,14.24,0.0414,0.2908,4.3116,14.45,0.042,0.2908,4.3161,18.44,0.035,0.1898,3.9631,WT iPSC,Rep 1
SPTLC2,51.83,0.1896,0.3659,27.6775,52.61,0.1925,0.3659,27.7068,71.41,0.2257,0.3161,27.7503,WT iPSC,Rep 1
SQSTM1,65.91,0.505,0.7662,110.2191,66.9,0.5126,0.7662,110.3356,93.36,0.7032,0.7532,114.5868,WT iPSC,Rep 1
SRC,21.01,0.0598,0.2847,6.7905,21.33,0.0607,0.2847,6.7977,28.64,0.0648,0.2264,6.5966,WT iPSC,Rep 1
SRCAP,45.84,0.1618,0.353,22.2124,46.53,0.1642,0.353,22.2358,61.77,0.1775,0.2874,21.9343,WT iPSC,Rep 1
SSBP1,74.07,1.4481,1.955,660.9876,75.06,1.4675,1.9552,661.6533,97.01,1.9817,2.0429,689.2534,WT iPSC,Rep 1
STAT1,51.2,0.1857,0.3626,29.8701,51.97,0.1885,0.3626,29.9017,73.28,0.2429,0.3315,30.7698,WT iPSC,Rep 1
STAT3,57.81,0.2431,0.4205,38.2805,58.68,0.2468,0.4205,38.321,79.46,0.2958,0.3723,38.7046,WT iPSC,Rep 1
STAT6,27.28,0.0964,0.3534,9.3676,27.69,0.0979,0.3534,9.3775,34.35,0.0803,0.2339,8.4237,WT iPSC,Rep 1
STIM1,11.18,0.0237,0.2119,3.3462,11.35,0.0241,0.2119,3.3497,15.72,0.0281,0.1788,3.3369,WT iPSC,Rep 1
STT3A,46.09,0.1546,0.3354,22.016,46.79,0.1569,0.3354,22.0393,63.45,0.1803,0.2842,21.9343,WT iPSC,Rep 1
STX1B,10.71,0.0253,0.2364,3.0762,10.87,0.0257,0.2364,3.0794,14.55,0.0253,0.1741,2.9766,WT iPSC,Rep 1
SUFU,6.68,0.0151,0.2265,1.8735,6.78,0.0154,0.2265,1.8755,9.73,0.0203,0.2081,1.9301,WT iPSC,Rep 1
SYT2,24.13,0.0601,0.2492,8.5004,24.5,0.0611,0.2492,8.5094,34.39,0.0769,0.2235,8.621,WT iPSC,Rep 1
TANC2,10.71,0.0271,0.2526,3.1335,10.87,0.0275,0.2526,3.1368,13.94,0.025,0.179,2.8994,WT iPSC,Rep 1
TARDBP,73.28,0.7494,1.0226,167.0304,74.38,0.7607,1.0226,167.207,96.16,0.9608,0.9991,171.2968,WT iPSC,Rep 1
TBK1,41.18,0.124,0.3011,17.4345,41.8,0.1259,0.3011,17.4529,57.46,0.1502,0.2614,17.4908,WT iPSC,Rep 1
TBXA2R,1.01,0.0017,0.164,0.27,1.02,0.0017,0.164,0.2703,1.45,0.0021,0.147,0.2745,WT iPSC,Rep 1
TCF3,69.06,0.4444,0.6435,76.062,70.1,0.4511,0.6435,76.1424,91.72,0.536,0.5844,76.6714,WT iPSC,Rep 1
TCF7L2,70.54,0.5121,0.7259,91.7702,71.57,0.5194,0.7257,91.859,91.48,0.5941,0.6494,91.4515,WT iPSC,Rep 1
TECTA,0.69,0.0019,0.2691,0.1964,0.7,0.0019,0.2691,0.1966,0.89,0.0016,0.1767,0.1801,WT iPSC,Rep 1
TEK,3.62,0.0068,0.189,1.0554,3.68,0.007,0.189,1.0565,5.29,0.0092,0.1741,1.0894,WT iPSC,Rep 1
TERC,2.84,0.0106,0.3751,0.7445,2.88,0.0108,0.3751,0.7453,3.42,0.0075,0.2201,0.6348,WT iPSC,Rep 1
TERT,14.68,0.0576,0.3924,4.467,14.9,0.0585,0.3924,4.4717,16.28,0.032,0.1964,3.4656,WT iPSC,Rep 1
TET2,5.51,0.0147,0.2674,1.6199,5.6,0.015,0.2674,1.6216,7.16,0.0128,0.1792,1.4583,WT iPSC,Rep 1
TET3,17.83,0.0604,0.3388,5.7269,18.1,0.0613,0.3388,5.733,22.41,0.0496,0.2214,5.0954,WT iPSC,Rep 1
TGFB2,1.1,0.0018,0.159,0.2863,1.12,0.0018,0.159,0.2866,1.64,0.0026,0.159,0.3002,WT iPSC,Rep 1
TGFBR2,16.7,0.041,0.2456,5.4079,16.95,0.0416,0.2456,5.4136,23.07,0.0442,0.1914,5.3356,WT iPSC,Rep 1
THBD,0.66,0.0014,0.2073,0.18,0.67,0.0014,0.2073,0.1802,0.98,0.002,0.2073,0.1887,WT iPSC,Rep 1
THPO,2.02,0.0034,0.1668,0.5563,2.05,0.0034,0.1668,0.5569,2.99,0.005,0.1668,0.5833,WT iPSC,Rep 1
TIMP3,12.92,0.0278,0.2151,3.7961,13.11,0.0282,0.2151,3.8002,18.72,0.0352,0.188,3.8945,WT iPSC,Rep 1
TINF2,25.77,0.0574,0.2228,9.0568,26.16,0.0583,0.2228,9.0663,37.67,0.0801,0.2125,9.3759,WT iPSC,Rep 1
TLK2,57.94,0.2501,0.4317,35.8998,58.78,0.2534,0.4312,35.9295,76.23,0.2746,0.3603,35.2218,WT iPSC,Rep 1
TMC1,0.22,0.0003,0.1475,0.0573,0.22,0.0003,0.1475,0.0573,0.33,0.0005,0.1475,0.06,WT iPSC,Rep 1
TMEM43,29.05,0.0833,0.2869,10.423,29.49,0.0846,0.2869,10.4341,39.82,0.0898,0.2255,10.2423,WT iPSC,Rep 1
TNFRSF1A,44.96,0.1443,0.3209,22.7523,45.63,0.1465,0.3209,22.7764,63.69,0.185,0.2904,23.2296,WT iPSC,Rep 1
TNNC1,12.13,0.026,0.214,3.8207,12.31,0.0264,0.214,3.8247,17.69,0.0313,0.1768,3.8773,WT iPSC,Rep 1
TNNI3,30.97,0.091,0.2939,15.3073,31.44,0.0924,0.2939,15.3235,44.97,0.1253,0.2786,15.8438,WT iPSC,Rep 1
TNNI3K,0.32,0.0005,0.1746,0.0818,0.32,0.0006,0.1746,0.0819,0.47,0.0008,0.1746,0.0858,WT iPSC,Rep 1
TNNT2,18.68,0.0518,0.2774,6.8396,18.96,0.0526,0.2774,6.8468,26.49,0.0587,0.2216,6.8882,WT iPSC,Rep 1
TNPO3,65.44,0.3714,0.5675,59.1675,66.42,0.377,0.5675,59.23,88.02,0.4502,0.5114,59.6352,WT iPSC,Rep 1
TOP2B,68.24,0.4388,0.643,70.7932,69.27,0.4454,0.643,70.868,89.8,0.5134,0.5717,71.0956,WT iPSC,Rep 1
TOPORS,61.15,0.2884,0.4717,45.6928,62.07,0.2928,0.4717,45.7411,83.9,0.3537,0.4216,46.2533,WT iPSC,Rep 1
TP63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
TPM1,78.26,1.2157,1.5534,398.7263,79.37,1.2329,1.5533,399.1312,96.68,1.5364,1.5892,410.5754,WT iPSC,Rep 1
TPM2,71.08,0.7212,1.0146,172.3565,72.15,0.732,1.0146,172.5386,94.34,0.9413,0.9978,177.9706,WT iPSC,Rep 1
TPM3,79.21,1.6741,2.1137,823.8456,80.14,1.695,2.1151,824.6425,98.18,2.2064,2.2474,856.4584,WT iPSC,Rep 1
TPM4,75.2,0.9675,1.2865,266.7202,76.3,0.9816,1.2864,266.9939,96.26,1.2444,1.2928,274.5175,WT iPSC,Rep 1
TRAF3,15.19,0.0381,0.2508,4.4997,15.41,0.0387,0.2508,4.5045,20.17,0.0371,0.1839,4.2633,WT iPSC,Rep 1
TRAF7,58.25,0.2541,0.4362,44.7847,59.13,0.258,0.4362,44.832,83.01,0.3412,0.411,46.1332,WT iPSC,Rep 1
TRIM8,36.52,0.1054,0.2886,14.3828,37.06,0.107,0.2886,14.398,50.21,0.1192,0.2374,14.2483,WT iPSC,Rep 1
TRPM3,14.87,0.037,0.249,4.5816,15.09,0.0376,0.249,4.5864,19.89,0.0362,0.1818,4.3663,WT iPSC,Rep 1
TRPM7,44.74,0.1843,0.4121,19.4307,45.35,0.1861,0.4105,19.4349,54.14,0.1399,0.2585,16.9161,WT iPSC,Rep 1
TRPV4,1.54,0.0039,0.2509,0.4009,1.57,0.0039,0.2509,0.4013,2.2,0.005,0.2282,0.4032,WT iPSC,Rep 1
TRRAP,46.53,0.1807,0.3882,21.836,47.2,0.183,0.3876,21.8509,59.71,0.1683,0.2819,20.802,WT iPSC,Rep 1
TSPAN12,18.02,0.0377,0.2092,5.7433,18.29,0.0383,0.2092,5.7494,26.25,0.0517,0.1969,5.9275,WT iPSC,Rep 1
TTR,0.16,0.0041,2.6107,0.0655,0.16,0.0042,2.6107,0.0655,0.05,0.0001,0.1852,0.0086,WT iPSC,Rep 1
TUBA1A,70.73,0.6415,0.907,139.5984,71.7,0.6497,0.9061,139.7131,95.41,0.8364,0.8766,144.1213,WT iPSC,Rep 1
TUBA4A,55.1,0.223,0.4047,39.3687,55.93,0.2263,0.4047,39.4103,79.74,0.3077,0.3859,40.8491,WT iPSC,Rep 1
TUBB1,0.28,0.0004,0.1322,0.0736,0.29,0.0004,0.1322,0.0737,0.42,0.0006,0.1322,0.0772,WT iPSC,Rep 1
TUBB2A,68.68,0.8186,1.1919,235.9992,69.68,0.8305,1.1918,236.2404,95.41,1.1383,1.193,245.9524,WT iPSC,Rep 1
TUBB2B,72.97,1.0264,1.4066,309.975,74.03,1.0409,1.406,310.2944,97.33,1.3809,1.4187,321.9975,WT iPSC,Rep 1
TUBB3,63.3,0.4996,0.7893,119.9468,64.25,0.5071,0.7893,120.0735,90.41,0.6974,0.7714,124.9577,WT iPSC,Rep 1
TUBB4A,19.85,0.0417,0.21,6.6596,20.15,0.0423,0.21,6.6667,28.97,0.0567,0.1956,6.8882,WT iPSC,Rep 1
TUBB4B,74.35,1.1391,1.532,369.3307,75.44,1.1556,1.5319,369.7128,97.52,1.5212,1.5599,383.5457,WT iPSC,Rep 1
TUBG1,62.16,0.3183,0.5121,60.0511,63.03,0.3222,0.5112,60.0982,88.77,0.4408,0.4966,62.2001,WT iPSC,Rep 1
UBA2,69.97,0.6278,0.8971,133.4869,70.93,0.6358,0.8964,133.6034,94.81,0.8213,0.8663,137.7306,WT iPSC,Rep 1
UBTF,71.49,0.5286,0.7394,94.1673,72.56,0.5365,0.7394,94.2668,93.36,0.6361,0.6813,95.2516,WT iPSC,Rep 1
UCHL1,83.96,1.5613,1.8594,606.8598,85.16,1.5839,1.8599,607.4847,98.03,1.9178,1.9562,624.7715,WT iPSC,Rep 1
UMOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
UNC93B1,21.01,0.0475,0.2258,6.9214,21.33,0.0482,0.2258,6.9287,29.9,0.0592,0.1981,6.9826,WT iPSC,Rep 1
VAPB,55.39,0.2164,0.3908,34.4762,56.22,0.2197,0.3908,34.5126,78.19,0.2798,0.3579,35.3162,WT iPSC,Rep 1
VCAN,80.31,0.8166,1.0168,148.1315,81.32,0.8262,1.0159,148.2389,94.1,0.8156,0.8667,141.1704,WT iPSC,Rep 1
VCL,74.04,0.7477,1.0099,169.8694,75.12,0.7583,1.0095,170.0407,94.76,0.9171,0.9678,172.7551,WT iPSC,Rep 1
VCP,76.28,0.8363,1.0964,183.0086,77.39,0.8485,1.0964,183.1938,97.38,1.0307,1.0584,186.5916,WT iPSC,Rep 1
VPS35,66.54,0.4303,0.6466,82.4107,67.51,0.4364,0.6464,82.4896,92.33,0.569,0.6163,84.8464,WT iPSC,Rep 1
VWF,0.76,0.0011,0.1497,0.2045,0.77,0.0011,0.1497,0.2047,1.12,0.0017,0.1497,0.2145,WT iPSC,Rep 1
WASHC5,34.44,0.0929,0.2699,13.5483,34.95,0.0943,0.2699,13.5626,48.9,0.1151,0.2353,13.7765,WT iPSC,Rep 1
WDR37,14.93,0.0386,0.2586,4.3607,15.16,0.0392,0.2586,4.3653,20.82,0.0442,0.2125,4.3062,WT iPSC,Rep 1
WFS1,22.18,0.0629,0.2837,7.3959,22.48,0.0635,0.2823,7.3956,30.04,0.0628,0.2089,7.1885,WT iPSC,Rep 1
WNT10A,0.03,0.0,0.1517,0.0082,0.03,0.0,0.1517,0.0082,0.05,0.0001,0.1517,0.0086,WT iPSC,Rep 1
WNT5A,3.94,0.012,0.3057,1.1536,4.0,0.0122,0.3057,1.1548,5.19,0.0114,0.2192,1.0723,WT iPSC,Rep 1
WRAP53,43.67,0.1403,0.3212,18.9726,44.32,0.1424,0.3212,18.9926,61.11,0.1688,0.2763,19.1207,WT iPSC,Rep 1
YARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
YY1,74.1,0.8171,1.1027,191.3372,75.18,0.8289,1.1025,191.5312,96.07,1.0393,1.0818,196.7653,WT iPSC,Rep 1
ZBTB20,3.34,0.0084,0.2523,0.9245,3.39,0.0086,0.2523,0.9255,4.4,0.0074,0.1673,0.8664,WT iPSC,Rep 1
ZCCHC8,55.45,0.2313,0.4171,31.7845,56.25,0.2343,0.4165,31.8099,73.42,0.2489,0.339,31.1815,WT iPSC,Rep 1
ZIC1,0.6,0.0021,0.3587,0.2045,0.61,0.0022,0.3587,0.2047,0.84,0.0018,0.2195,0.2059,WT iPSC,Rep 1
ZMIZ1,32.48,0.0926,0.2849,12.6647,32.97,0.0939,0.2849,12.6781,45.34,0.1091,0.2407,12.6099,WT iPSC,Rep 1
ZMYND8,74.95,0.6142,0.8194,110.301,76.05,0.6229,0.8191,110.4093,93.12,0.6845,0.7351,109.4056,WT iPSC,Rep 1
ZNF292,65.28,0.3624,0.5552,46.5846,66.23,0.3672,0.5544,46.6256,79.13,0.3161,0.3995,42.3674,WT iPSC,Rep 1
ZSWIM6,27.88,0.0738,0.2648,10.2103,28.27,0.0746,0.2638,10.2129,39.26,0.0877,0.2233,10.2423,WT iPSC,Rep 1
AARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 2
ABCB6,35.76,0.0889,0.2487,13.1196,35.91,0.0893,0.2487,13.1236,45.97,0.0997,0.2168,12.8079,WT iPSC,Rep 2
ABCC6,3.36,0.0057,0.1681,0.8072,3.38,0.0057,0.1681,0.8075,4.45,0.0067,0.1513,0.7903,WT iPSC,Rep 2
ABCC8,1.84,0.0034,0.1855,0.4454,1.85,0.0034,0.1855,0.4455,2.33,0.0032,0.1364,0.424,WT iPSC,Rep 2
ABCC9,0.2,0.0002,0.1196,0.0464,0.2,0.0002,0.1196,0.0464,0.28,0.0003,0.1196,0.0482,WT iPSC,Rep 2
ACAN,1.2,0.0018,0.153,0.3155,1.21,0.0018,0.153,0.3156,1.61,0.0022,0.1344,0.318,WT iPSC,Rep 2
ACD,40.21,0.1002,0.2493,15.8753,40.37,0.1006,0.2493,15.8801,54.64,0.1294,0.2367,16.287,WT iPSC,Rep 2
ACO2,53.54,0.1903,0.3554,33.3744,53.76,0.1911,0.3554,33.3844,70.54,0.2346,0.3326,33.769,WT iPSC,Rep 2
ACOX1,34.12,0.0877,0.257,13.0547,34.26,0.0881,0.257,13.0586,44.25,0.0987,0.2231,12.9139,WT iPSC,Rep 2
ACTA1,4.12,0.0138,0.3358,1.299,4.14,0.0139,0.3358,1.2994,5.28,0.0101,0.1903,1.2239,WT iPSC,Rep 2
ACTA2,6.65,0.0239,0.3589,2.1526,6.67,0.024,0.3589,2.1532,8.67,0.019,0.2191,2.072,WT iPSC,Rep 2
ACTB,94.51,2.7488,2.9083,1934.9059,94.73,2.7572,2.9105,1935.4508,99.11,2.9844,3.0111,1973.124,WT iPSC,Rep 2
ACTC1,21.43,0.0608,0.2838,8.1743,21.51,0.061,0.2838,8.1767,28.68,0.0639,0.2228,7.8929,WT iPSC,Rep 2
ACTG1,91.27,2.3485,2.5731,1324.2023,91.6,2.3568,2.5731,1324.5914,98.67,2.5988,2.6339,1353.1781,WT iPSC,Rep 2
ACTL6A,63.32,0.3499,0.5526,61.9982,63.57,0.3513,0.5526,62.0168,82.93,0.4358,0.5254,63.2976,WT iPSC,Rep 2
ACTN1,69.52,0.5447,0.7834,107.0819,69.8,0.5469,0.7834,107.1141,86.44,0.6373,0.7373,107.9181,WT iPSC,Rep 2
ACTN2,6.25,0.0121,0.1942,1.5773,6.27,0.0122,0.1942,1.5778,8.34,0.0129,0.1549,1.5805,WT iPSC,Rep 2
ACVR1,21.11,0.0421,0.1993,6.467,21.19,0.0422,0.1993,6.469,27.9,0.0496,0.1779,6.3895,WT iPSC,Rep 2
ADAR,67.44,0.4675,0.6932,87.9591,67.71,0.4694,0.6932,87.9856,84.55,0.5532,0.6543,88.5472,WT iPSC,Rep 2
ADCY5,17.98,0.0398,0.2211,5.9196,18.05,0.0399,0.2211,5.9214,23.62,0.0459,0.1945,5.8691,WT iPSC,Rep 2
AFG3L2,68.64,0.4908,0.715,90.2602,68.88,0.4922,0.7146,90.278,85.66,0.57,0.6655,90.571,WT iPSC,Rep 2
AGO2,68.76,0.5393,0.7843,108.3809,69.04,0.5415,0.7843,108.4135,85.94,0.6334,0.7371,109.3059,WT iPSC,Rep 2
AICDA,0.12,0.0002,0.1265,0.0278,0.12,0.0002,0.1265,0.0278,0.17,0.0002,0.1265,0.0289,WT iPSC,Rep 2
AKT3,46.9,0.1411,0.3009,22.6393,47.08,0.1417,0.3009,22.6461,60.48,0.1625,0.2687,22.4837,WT iPSC,Rep 2
ALB,0.24,0.0058,2.43,0.0835,0.24,0.0059,2.43,0.0835,0.17,0.003,1.7905,0.0385,WT iPSC,Rep 2
ALDH18A1,51.54,0.1801,0.3494,27.6218,51.75,0.1808,0.3494,27.6301,65.31,0.1965,0.3009,26.8783,WT iPSC,Rep 2
ALG5,54.71,0.1907,0.3485,27.863,54.93,0.1914,0.3485,27.8714,69.21,0.2091,0.3022,27.1096,WT iPSC,Rep 2
ALG8,57.15,0.2203,0.3855,34.395,57.38,0.2212,0.3855,34.4053,70.87,0.2337,0.3298,32.7282,WT iPSC,Rep 2
ALG9,19.06,0.0407,0.2137,5.5763,19.14,0.0409,0.2137,5.578,24.4,0.0443,0.1813,5.3583,WT iPSC,Rep 2
ALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 2
ALPK3,32.88,0.0858,0.2608,13.4908,33.01,0.0861,0.2608,13.4948,43.19,0.0996,0.2306,13.5018,WT iPSC,Rep 2
ALPL,62.35,0.2998,0.4808,52.9146,62.61,0.301,0.4808,52.9306,79.27,0.3506,0.4424,52.7062,WT iPSC,Rep 2
ANK1,16.3,0.033,0.2025,5.3072,16.37,0.0331,0.2025,5.3088,21.73,0.0397,0.1826,5.3487,WT iPSC,Rep 2
ANKRD26,45.25,0.1523,0.3366,21.7485,45.44,0.1529,0.3366,21.7551,57.2,0.1587,0.2774,21.2694,WT iPSC,Rep 2
ANO5,26.87,0.0651,0.2422,8.8701,26.98,0.0653,0.2422,8.8728,34.24,0.0708,0.2069,8.5579,WT iPSC,Rep 2
ANXA11,57.59,0.2321,0.4031,39.5445,57.82,0.2331,0.4031,39.5564,76.26,0.2883,0.3781,40.332,WT iPSC,Rep 2
AP1G1,53.38,0.2011,0.3767,31.2032,53.56,0.2008,0.375,31.2033,69.76,0.238,0.3411,31.4657,WT iPSC,Rep 2
AP2M1,73.37,0.9347,1.2741,246.9629,73.66,0.9385,1.2741,247.0372,90.22,1.1469,1.2713,253.0553,WT iPSC,Rep 2
APP,73.45,0.9605,1.3078,254.3021,73.74,0.9644,1.3078,254.3786,87.6,1.0406,1.1878,240.4401,WT iPSC,Rep 2
ARF1,71.89,0.7499,1.0432,169.9615,72.18,0.7529,1.0432,170.0127,89.44,0.9152,1.0233,173.4129,WT iPSC,Rep 2
ARHGAP29,28.55,0.0718,0.2515,10.0299,28.67,0.0721,0.2515,10.033,36.8,0.0756,0.2055,9.8589,WT iPSC,Rep 2
ASXL2,47.54,0.1563,0.3287,25.4692,47.73,0.1569,0.3287,25.4768,62.42,0.1866,0.2989,25.6062,WT iPSC,Rep 2
ATL1,14.94,0.0282,0.1888,4.2588,15.0,0.0283,0.1888,4.2601,19.84,0.0342,0.1724,4.2693,WT iPSC,Rep 2
ATL3,39.37,0.1044,0.2652,16.3114,39.53,0.1048,0.2652,16.3163,51.92,0.1256,0.2419,16.3737,WT iPSC,Rep 2
ATP11A,48.3,0.1687,0.3494,24.6712,48.49,0.1694,0.3494,24.6787,60.59,0.1777,0.2934,23.7848,WT iPSC,Rep 2
ATP13A3,60.59,0.273,0.4505,44.2579,60.84,0.2741,0.4505,44.2712,76.15,0.3029,0.3978,43.387,WT iPSC,Rep 2
ATP1A1,69.32,0.549,0.792,105.82,69.56,0.5502,0.7909,105.8426,84.27,0.5888,0.6987,101.2877,WT iPSC,Rep 2
ATP1A2,35.88,0.1297,0.3614,20.1341,36.03,0.1302,0.3614,20.1402,45.03,0.1381,0.3068,19.3709,WT iPSC,Rep 2
ATP1A3,18.26,0.0342,0.1874,5.2516,18.34,0.0344,0.1874,5.2531,23.51,0.0385,0.1635,5.1078,WT iPSC,Rep 2
ATP2B2,0.48,0.0007,0.1557,0.1206,0.48,0.0008,0.1557,0.1207,0.67,0.001,0.1557,0.1253,WT iPSC,Rep 2
ATXN2,68.28,0.4865,0.7124,89.6107,68.56,0.4884,0.7124,89.6376,84.99,0.5602,0.6591,89.4049,WT iPSC,Rep 2
BACH2,11.97,0.0269,0.2244,3.2382,12.02,0.027,0.2244,3.2391,15.4,0.0289,0.1874,3.1417,WT iPSC,Rep 2
BCL11B,37.85,0.1149,0.3035,16.8403,37.96,0.1147,0.3023,16.8361,47.8,0.1202,0.2514,16.3063,WT iPSC,Rep 2
BEST1,4.65,0.0097,0.2091,1.1691,4.66,0.0098,0.2091,1.1694,6.11,0.0112,0.1833,1.1565,WT iPSC,Rep 2
BICRA,21.83,0.0467,0.2139,6.3371,21.91,0.0469,0.2139,6.339,28.79,0.0526,0.1826,6.3028,WT iPSC,Rep 2
BRAF,52.74,0.1896,0.3595,29.83,52.96,0.1904,0.3595,29.839,66.81,0.2103,0.3147,29.1527,WT iPSC,Rep 2
BRD4,70.2,0.6207,0.8842,134.0913,70.49,0.6232,0.8842,134.1316,87.72,0.7583,0.8645,136.1456,WT iPSC,Rep 2
BRSK2,22.31,0.0489,0.2192,6.9402,22.4,0.0491,0.2192,6.9423,28.96,0.0523,0.1806,6.8425,WT iPSC,Rep 2
BSCL2,57.95,0.2418,0.4172,41.5672,58.18,0.2427,0.4172,41.5797,76.54,0.3033,0.3963,42.2787,WT iPSC,Rep 2
C19orf12,37.16,0.0911,0.2451,14.8269,37.31,0.0915,0.2451,14.8313,50.64,0.1184,0.2337,15.2269,WT iPSC,Rep 2
C1QTNF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 2
C3,1.84,0.0067,0.3654,0.4454,1.85,0.0068,0.3654,0.4455,2.39,0.0048,0.2011,0.4337,WT iPSC,Rep 2
C9orf72,39.89,0.1155,0.2895,16.766,40.05,0.1159,0.2895,16.7711,52.14,0.1359,0.2607,16.7014,WT iPSC,Rep 2
CACNA1C,2.6,0.0068,0.2613,0.6309,2.61,0.0068,0.2613,0.6311,3.06,0.0045,0.1487,0.559,WT iPSC,Rep 2
CACNA1D,3.88,0.007,0.1807,1.0113,3.9,0.007,0.1807,1.0116,5.11,0.0083,0.1613,1.0023,WT iPSC,Rep 2
CACNA1E,0.36,0.0005,0.1434,0.0835,0.36,0.0005,0.1434,0.0835,0.44,0.0005,0.1098,0.0771,WT iPSC,Rep 2
CACNA1S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 2
CALM1,84.5,1.797,2.1266,725.0132,84.8,1.8032,2.1263,725.2221,95.39,2.0625,2.1623,741.1057,WT iPSC,Rep 2
CALM2,84.26,1.6697,1.9815,605.1179,84.56,1.676,1.982,605.2907,95.44,1.894,1.9845,616.6115,WT iPSC,Rep 2
CALM3,72.33,0.8665,1.198,212.3916,72.62,0.87,1.198,212.4555,90.16,1.062,1.1779,217.6962,WT iPSC,Rep 2
CAMK2A,0.12,0.0002,0.1727,0.0278,0.12,0.0002,0.1727,0.0278,0.17,0.0003,0.1727,0.0289,WT iPSC,Rep 2
CAPN3,0.64,0.0009,0.1439,0.1485,0.64,0.0009,0.1439,0.1485,0.89,0.0013,0.1439,0.1542,WT iPSC,Rep 2
CAPN5,17.82,0.0344,0.193,5.2237,17.89,0.0345,0.193,5.2253,23.9,0.0404,0.1692,5.2716,WT iPSC,Rep 2
CARD11,12.74,0.0243,0.1909,3.5072,12.79,0.0244,0.1909,3.5083,17.29,0.0289,0.1671,3.5754,WT iPSC,Rep 2
CASQ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 2
CASR,0.64,0.0009,0.134,0.1485,0.64,0.0009,0.134,0.1485,0.89,0.0012,0.134,0.1542,WT iPSC,Rep 2
CAV1,33.36,0.103,0.3087,15.699,33.49,0.1034,0.3087,15.7038,44.58,0.1179,0.2645,15.94,WT iPSC,Rep 2
CAV3,0.12,0.0001,0.1109,0.0278,0.12,0.0001,0.1109,0.0278,0.17,0.0002,0.1109,0.0289,WT iPSC,Rep 2
CBL,65.44,0.3808,0.5819,65.0044,65.7,0.3823,0.5819,65.0239,82.49,0.4427,0.5367,64.8299,WT iPSC,Rep 2
CCM2,45.98,0.1349,0.2935,22.1753,46.16,0.1355,0.2935,22.182,61.37,0.1661,0.2706,22.5223,WT iPSC,Rep 2
CCND2,72.85,0.7748,1.0636,172.4203,73.1,0.777,1.063,172.4629,88.72,0.8904,1.0036,174.0972,WT iPSC,Rep 2
CD164,64.4,0.352,0.5465,57.2569,64.66,0.3534,0.5465,57.2742,79.77,0.3807,0.4773,55.3468,WT iPSC,Rep 2
