Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
RELA,20.67,0.0474,0.2294,6.4878,20.98,0.0481,0.2294,6.4947,28.87,0.0541,0.1874,6.4593,WT iPSC,Rep 1
REN,0.09,0.0004,0.4007,0.0245,0.1,0.0004,0.4007,0.0246,0.09,0.0002,0.2149,0.0172,WT iPSC,Rep 1
RERE,75.14,0.5788,0.7702,97.1126,76.27,0.5875,0.7702,97.2152,92.09,0.6135,0.6662,94.7284,WT iPSC,Rep 1
RFX3,18.21,0.0511,0.2806,5.9806,18.45,0.0514,0.2788,5.9787,23.82,0.0488,0.2049,5.5844,WT iPSC,Rep 1
RFX6,0.06,0.0001,0.1918,0.0164,0.06,0.0001,0.1918,0.0164,0.09,0.0002,0.1918,0.0172,WT iPSC,Rep 1
RFX7,32.8,0.1074,0.3274,12.3211,33.29,0.109,0.3274,12.3341,42.49,0.1004,0.2362,11.5376,WT iPSC,Rep 1
RHBDF2,19.09,0.0457,0.2396,6.2751,19.38,0.0464,0.2396,6.2817,26.16,0.0499,0.1906,6.1076,WT iPSC,Rep 1
RHO,0.03,0.0,0.0625,0.0082,0.03,0.0,0.0625,0.0082,0.05,0.0,0.0625,0.0086,WT iPSC,Rep 1
RHOBTB2,6.93,0.017,0.2448,1.9308,7.04,0.0172,0.2448,1.9328,9.5,0.0168,0.1767,1.87,WT iPSC,Rep 1
RIT1,35.29,0.093,0.2635,14.5219,35.82,0.0944,0.2635,14.5372,51.19,0.1257,0.2456,14.9774,WT iPSC,Rep 1
RNF43,6.49,0.0161,0.2478,1.849,6.59,0.0163,0.2478,1.8509,8.75,0.0159,0.182,1.7585,WT iPSC,Rep 1
RP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
RPE65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
RPL5,94.96,3.0474,3.2092,3598.0923,95.59,3.078,3.2201,3601.4849,99.63,3.5968,3.6103,3729.5339,WT iPSC,Rep 1
RPS10,74.2,1.4198,1.9136,624.6542,75.22,1.4399,1.9143,625.2897,97.43,1.946,1.9974,651.724,WT iPSC,Rep 1
RRAS2,64.3,0.3923,0.6101,75.7757,65.24,0.3976,0.6095,75.8475,90.83,0.5342,0.5882,78.4471,WT iPSC,Rep 1
RYR1,21.42,0.1029,0.4805,7.1178,21.68,0.1035,0.4772,7.1089,21.39,0.0417,0.1952,4.6837,WT iPSC,Rep 1
RYR2,16.79,0.0751,0.4472,5.8006,17.01,0.0755,0.4439,5.7985,17.69,0.0354,0.2004,4.1175,WT iPSC,Rep 1
SAMD9,0.22,0.0007,0.3059,0.0573,0.22,0.0007,0.3059,0.0573,0.28,0.0005,0.1649,0.0515,WT iPSC,Rep 1
SAMD9L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
SATB1,35.35,0.1158,0.3276,14.7428,35.88,0.1175,0.3276,14.7584,47.4,0.1217,0.2568,14.2654,WT iPSC,Rep 1
SCAF4,46.12,0.1756,0.3808,22.2533,46.82,0.1783,0.3808,22.2768,61.07,0.1855,0.3037,21.677,WT iPSC,Rep 1
SCN11A,1.17,0.0057,0.4922,0.4254,1.18,0.0058,0.4922,0.4259,1.08,0.0024,0.2222,0.326,WT iPSC,Rep 1
SCN1B,5.95,0.0131,0.22,1.6772,6.04,0.0133,0.22,1.6789,8.24,0.0145,0.1758,1.6384,WT iPSC,Rep 1
SCN3A,0.25,0.0008,0.2988,0.09,0.26,0.0008,0.2988,0.0901,0.33,0.0007,0.219,0.0858,WT iPSC,Rep 1
SCN8A,20.6,0.0724,0.3515,6.6105,20.91,0.0735,0.3515,6.6175,24.43,0.0518,0.2122,5.4986,WT iPSC,Rep 1
