Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
MDM4,1.14,0.0165,1.4526,40.6526,13.86,0.1098,0.7919,39.4644,40.51,0.241,0.595,39.6513,iPSC,Rep 1
MECOM,0.07,0.0005,0.6747,1.663,0.94,0.0044,0.4654,1.6901,2.93,0.0106,0.3613,1.7344,iPSC,Rep 1
MED12L,0.27,0.0021,0.7808,6.4423,3.57,0.0187,0.5226,6.4883,10.94,0.0429,0.3919,6.5947,iPSC,Rep 1
MED13,0.35,0.0027,0.7902,8.6477,4.63,0.0245,0.5292,8.7162,14.13,0.056,0.3963,8.8656,iPSC,Rep 1
MEFV,0.0,0.0,0.4347,0.006,0.0,0.0,0.4347,0.0064,0.01,0.0001,0.4347,0.0069,iPSC,Rep 1
MESP1,0.1,0.0008,0.8313,2.2533,1.3,0.0067,0.5163,2.2183,4.01,0.0151,0.3767,2.2675,iPSC,Rep 1
MET,0.12,0.0007,0.6158,2.6818,1.58,0.0074,0.4705,2.7528,4.91,0.0181,0.368,2.8421,iPSC,Rep 1
MFAP5,0.0,0.0,0.9405,0.0959,0.06,0.0004,0.6844,0.096,0.16,0.0004,0.2765,0.0865,iPSC,Rep 1
MFN2,0.55,0.0046,0.8472,14.4338,7.28,0.0428,0.5882,14.5483,22.08,0.0946,0.4283,14.768,iPSC,Rep 1
MIR96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
MORC2,0.66,0.0068,1.0236,18.7307,8.56,0.0544,0.6361,18.5431,25.8,0.122,0.4727,18.8425,iPSC,Rep 1
MPL,0.0,0.0,0.2376,0.003,0.0,0.0,0.2376,0.0032,0.01,0.0,0.2376,0.0035,iPSC,Rep 1
MPZ,0.09,0.0008,0.97,1.9237,1.1,0.0065,0.5903,1.8629,3.32,0.0134,0.4026,1.8555,iPSC,Rep 1
MRAS,0.31,0.0028,0.9054,7.4911,4.0,0.0228,0.5694,7.3782,12.14,0.0491,0.4042,7.4671,iPSC,Rep 1
MSX2,0.01,0.0,0.497,0.1288,0.08,0.0004,0.497,0.1376,0.25,0.0009,0.3683,0.1419,iPSC,Rep 1
MTAP,1.01,0.0108,1.0698,31.1689,13.15,0.1035,0.7869,31.2572,37.78,0.1976,0.5232,30.8584,iPSC,Rep 1
MTOR,0.49,0.0039,0.7851,13.0675,6.62,0.0348,0.5255,13.2487,20.29,0.0823,0.4056,13.5702,iPSC,Rep 1
MUC1,0.06,0.0004,0.7168,1.2315,0.74,0.0035,0.4772,1.2388,2.28,0.0077,0.3369,1.2566,iPSC,Rep 1
MYH10,1.58,0.0211,1.3417,67.6295,19.96,0.1866,0.9349,68.0329,56.09,0.3775,0.6729,67.8753,iPSC,Rep 1
MYH11,0.01,0.0001,1.1168,0.2068,0.12,0.0009,0.7211,0.1985,0.33,0.0016,0.4769,0.18,iPSC,Rep 1
MYH14,0.22,0.0016,0.7422,5.1868,2.97,0.0165,0.5556,5.272,9.03,0.0352,0.3899,5.3277,iPSC,Rep 1
MYH2,0.0,0.0,0.6658,0.0569,0.03,0.0002,0.5265,0.0576,0.09,0.0003,0.3128,0.0519,iPSC,Rep 1
MYH6,0.0,0.0,1.0277,0.0959,0.05,0.0003,0.5329,0.0896,0.16,0.0007,0.4378,0.09,iPSC,Rep 1
MYH7,0.0,0.0,2.735,0.003,0.0,0.0001,2.735,0.0032,0.0,0.0,0.0,0.0,iPSC,Rep 1
MYH9,1.06,0.0104,0.9845,37.0629,14.07,0.0971,0.6903,37.8384,41.96,0.2196,0.5234,38.5193,iPSC,Rep 1
MYL2,0.0,0.0,0.8542,0.015,0.01,0.0,0.3062,0.0128,0.03,0.0001,0.3062,0.0138,iPSC,Rep 1
MYL3,0.0,0.0,0.7036,0.1109,0.06,0.0003,0.4858,0.1088,0.2,0.0009,0.4571,0.1142,iPSC,Rep 1
MYLK,0.15,0.001,0.6853,3.5358,2.03,0.0095,0.4667,3.5947,6.27,0.0228,0.3635,3.6868,iPSC,Rep 1
MYLK3,0.01,0.0001,0.6973,0.1978,0.12,0.0006,0.4806,0.2017,0.37,0.0015,0.3946,0.2077,iPSC,Rep 1
MYO6,0.82,0.0092,1.113,23.3722,10.66,0.0844,0.7919,23.1332,29.83,0.1474,0.494,22.107,iPSC,Rep 1
MYO7A,0.01,0.0001,0.6769,0.2966,0.18,0.001,0.5461,0.3041,0.54,0.0022,0.3964,0.3012,iPSC,Rep 1
MYOC,0.0,0.0,0.3831,0.009,0.01,0.0,0.3831,0.0096,0.02,0.0001,0.3831,0.0104,iPSC,Rep 1
NACC1,1.09,0.0111,1.0146,37.8599,14.3,0.1038,0.7255,38.3697,42.53,0.2256,0.5305,39.1251,iPSC,Rep 1
NAF1,0.46,0.0044,0.9554,11.6741,6.1,0.0413,0.6773,11.5682,17.94,0.0802,0.4469,11.417,iPSC,Rep 1
NARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
NEB,0.03,0.0002,0.7999,0.6203,0.36,0.0018,0.4909,0.6146,1.1,0.004,0.3688,0.6197,iPSC,Rep 1
NEDD4L,0.61,0.0051,0.8357,16.813,8.06,0.0459,0.5697,16.9778,24.62,0.105,0.4265,17.3886,iPSC,Rep 1
NEFH,0.12,0.001,0.8768,2.7178,1.54,0.0094,0.6079,2.7016,4.63,0.0194,0.4192,2.6933,iPSC,Rep 1
NEFL,2.23,0.0491,2.2026,99.0891,22.36,0.2583,1.1551,89.0151,60.09,0.4848,0.8067,88.6702,iPSC,Rep 1
NEK1,0.47,0.0039,0.8397,12.1326,6.21,0.0361,0.5809,12.2372,18.73,0.0773,0.4128,12.3482,iPSC,Rep 1
NEK8,0.37,0.0027,0.7229,9.5706,5.08,0.0274,0.5398,9.7981,15.43,0.0628,0.4067,9.9319,iPSC,Rep 1
NEXN,0.46,0.0038,0.834,12.0127,6.12,0.0361,0.5909,12.1188,18.41,0.0763,0.4147,12.1959,iPSC,Rep 1
NFKB1,0.11,0.0007,0.6922,2.4241,1.43,0.007,0.4887,2.4551,4.43,0.0163,0.3677,2.5202,iPSC,Rep 1
NFKB2,0.13,0.001,0.8007,2.9725,1.71,0.0099,0.5757,2.9865,5.09,0.02,0.3925,2.9494,iPSC,Rep 1
NFKBIA,0.78,0.0078,1.0076,22.5632,10.15,0.0724,0.7134,22.5859,29.76,0.1419,0.4767,22.5085,iPSC,Rep 1
NKX2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
NOD2,0.0,0.0,0.262,0.0479,0.03,0.0001,0.262,0.0512,0.1,0.0003,0.262,0.0554,iPSC,Rep 1
NOTCH2,0.34,0.0022,0.652,8.5608,4.69,0.0244,0.5199,8.8634,14.22,0.056,0.3939,8.9487,iPSC,Rep 1
NOVA2,0.07,0.0011,1.575,1.5492,0.71,0.0035,0.4888,1.2388,2.19,0.0081,0.3684,1.2739,iPSC,Rep 1
NPRL2,0.63,0.0063,1.0001,16.6901,8.13,0.0563,0.693,16.5137,23.73,0.106,0.4469,16.2773,iPSC,Rep 1
NR2F2,0.0,0.0,3.3763,0.012,0.0,0.0,0.3582,0.0032,0.01,0.0,0.3582,0.0035,iPSC,Rep 1
NRAS,1.14,0.0121,1.0674,37.2876,14.78,0.1143,0.7731,37.3998,43.1,0.2302,0.5342,37.5223,iPSC,Rep 1
NRL,0.06,0.0005,0.8268,1.3933,0.8,0.0042,0.5211,1.37,2.46,0.009,0.3662,1.3916,iPSC,Rep 1
OPA1,0.77,0.0075,0.9626,22.1407,10.17,0.0687,0.6749,22.2017,30.07,0.1426,0.4741,22.2247,iPSC,Rep 1
OPA3,0.55,0.0047,0.8504,14.5597,7.32,0.0447,0.6101,14.7051,22.01,0.095,0.4316,14.8268,iPSC,Rep 1
OPTN,0.74,0.0079,1.0688,23.8217,9.55,0.0677,0.7089,23.7318,28.34,0.1432,0.5051,24.0629,iPSC,Rep 1
ORAI1,0.95,0.0075,0.7931,34.4141,12.88,0.0758,0.5885,35.6681,40.38,0.1995,0.4941,37.6227,iPSC,Rep 1
OSBPL2,0.46,0.0041,0.8915,11.8899,6.13,0.0377,0.6145,11.8851,18.24,0.0746,0.4088,11.8601,iPSC,Rep 1
P2RX2,0.03,0.0002,0.5935,0.6592,0.4,0.002,0.4855,0.6818,1.24,0.0043,0.3502,0.6924,iPSC,Rep 1
P2RY12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
PACS1,0.25,0.0017,0.6935,5.9809,3.34,0.0157,0.4697,6.0882,10.37,0.0375,0.362,6.2866,iPSC,Rep 1
PACS2,0.49,0.0041,0.8499,12.9326,6.46,0.0355,0.5487,12.9894,19.73,0.0813,0.4122,13.2552,iPSC,Rep 1
PARN,0.63,0.0055,0.8704,17.4812,8.39,0.0516,0.6148,17.6244,25.37,0.1117,0.4402,17.9113,iPSC,Rep 1
PCGF2,1.45,0.0167,1.1489,69.9847,18.93,0.159,0.8399,71.7908,56.9,0.3827,0.6725,74.8508,iPSC,Rep 1
PCSK9,0.36,0.0032,0.8828,9.9152,4.88,0.0322,0.6609,10.0542,14.03,0.0597,0.4259,9.7622,iPSC,Rep 1
PDGFRA,0.17,0.0013,0.7703,3.9193,2.23,0.0126,0.5638,3.9692,6.74,0.0259,0.3842,3.9914,iPSC,Rep 1
PDX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
PFN1,11.12,0.4444,3.9974,3026.2969,84.53,2.8577,3.3807,3062.5291,99.17,3.3795,3.4078,3118.0835,iPSC,Rep 1
PIEZO1,0.17,0.0011,0.6808,3.9972,2.3,0.0111,0.4853,4.0876,6.95,0.0247,0.3552,4.1091,iPSC,Rep 1
PIK3CA,0.16,0.0012,0.729,3.8205,2.19,0.0104,0.4766,3.8347,6.75,0.0253,0.3754,3.9222,iPSC,Rep 1
