Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
KDM4B,38.65,1.4859000444412231,3.8447000980377197,22.559900283813477,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KDR,0.31,0.009999999776482582,3.220599889755249,0.13580000400543213,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KIDINS220,37.72,1.4484000205993652,3.839900016784668,20.581300735473633,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KIF1A,13.11,0.5108000040054321,3.897700071334839,8.515800476074219,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KIF21A,61.66,2.6386001110076904,4.279200077056885,60.948699951171875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KIF5A,0.26,0.009200000204145908,3.5761001110076904,0.09700000286102295,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KLF13,33.38,1.2592999935150146,3.772200107574463,18.331199645996094,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KLHL20,14.55,0.5213000178337097,3.58270001411438,6.188000202178955,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
KRAS,74.25,3.3654000759124756,4.532400131225586,90.918701171875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
LITAF,65.43,2.8173000812530518,4.306000232696533,67.62159729003906,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
LMX1A,0.0,0.0,0.0,0.0,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
LOX,57.17,2.7588000297546387,4.825399875640869,97.76619720458984,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
