Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Cell_Line,Developmental_Stage,Replicate,Source_File,CMO_Assignment_Method
GUCY2D,0.01,0.0001,0.9191,0.1088,0.17,0.0008,0.463,0.0999,0.28,0.0007,0.2404,0.097,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
H1-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
H3-3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
H4C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HAND1,1.14,0.0162,1.4235,67.9604,30.05,0.2371,0.789,67.7267,51.64,0.3665,0.7098,69.8626,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HAND2,1.75,0.0273,1.5594,86.7899,43.85,0.3708,0.8456,83.9955,72.3,0.5211,0.7208,84.3462,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HBA1,0.0,0.0,0.1159,0.0073,0.02,0.0,0.1159,0.0077,0.03,0.0,0.1159,0.0081,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HBB,0.0,0.0,0.1418,0.0218,0.05,0.0001,0.1418,0.0231,0.08,0.0001,0.1418,0.0243,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HCN1,0.31,0.002,0.6606,6.3055,9.5,0.0364,0.3834,6.2171,16.26,0.048,0.2954,6.1379,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HCN4,1.07,0.0106,0.9872,36.5198,30.88,0.1669,0.5404,35.9959,52.85,0.2461,0.4656,35.9786,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
HECW2,0.22,0.0017,0.7629,5.0139,6.54,0.0257,0.3925,4.8953,11.41,0.0393,0.3441,4.9168,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
