Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Cell_Line,Developmental_Stage,Replicate,Source_File,CMO_Assignment_Method
ITGA2B,0.01,0.0001,0.5481,0.2395,0.46,0.0012,0.2704,0.2305,0.78,0.002,0.2569,0.2264,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ITGB3,0.11,0.0008,0.7538,1.9446,3.25,0.013,0.3994,1.8444,5.44,0.0166,0.305,1.771,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ITPR1,0.54,0.0032,0.5972,13.0682,16.97,0.0668,0.3938,13.2871,29.83,0.1046,0.3506,13.4081,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
JAK1,1.47,0.015,1.0166,73.7652,44.02,0.2949,0.67,75.1426,77.26,0.4766,0.6168,77.6179,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
JPH2,0.89,0.0071,0.7992,25.1133,26.93,0.1226,0.4551,24.9835,46.82,0.1838,0.3925,25.312,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KBTBD13,0.02,0.0001,0.7314,0.2685,0.5,0.0024,0.4731,0.2613,0.84,0.0025,0.2996,0.2507,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNA1,0.01,0.0,0.3746,0.1669,0.3,0.0011,0.3746,0.1768,0.53,0.0019,0.3586,0.1779,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNA2,0.0,0.0,0.184,0.0435,0.09,0.0002,0.184,0.0461,0.17,0.0003,0.184,0.0485,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNB1,0.01,0.0001,0.4397,0.2177,0.41,0.0013,0.3236,0.2229,0.7,0.0019,0.266,0.2183,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNC1,0.05,0.0001,0.2805,0.849,1.71,0.0048,0.2805,0.8991,3.03,0.0077,0.2552,0.9057,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNC3,0.26,0.0018,0.6767,4.9269,7.92,0.029,0.3656,4.7723,13.48,0.0372,0.2756,4.6661,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNH1,0.0,0.0,0.2976,0.0435,0.08,0.0002,0.2976,0.0461,0.14,0.0004,0.2976,0.0485,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNH5,0.01,0.0001,0.5129,0.2467,0.42,0.0013,0.3027,0.2459,0.76,0.0016,0.2093,0.2507,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNJ11,0.03,0.0003,1.0693,0.4063,0.7,0.0024,0.3502,0.3535,1.18,0.003,0.2538,0.3396,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNJ2,0.02,0.0001,0.5208,0.312,0.49,0.0016,0.3256,0.3151,0.87,0.0027,0.3085,0.3235,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNJ5,0.43,0.0033,0.763,10.2964,12.91,0.0511,0.3956,10.0595,22.62,0.0768,0.3397,10.1167,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNK3,0.1,0.0006,0.6229,1.8648,3.14,0.0102,0.3242,1.8059,5.58,0.0153,0.2746,1.8357,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNK4,0.0,0.0,0.7103,0.0145,0.03,0.0002,0.7103,0.0154,0.06,0.0004,0.7103,0.0162,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNMA1,0.4,0.0043,1.0765,25.2802,11.9,0.0829,0.6964,25.9441,21.36,0.1416,0.663,27.0992,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNQ3,0.06,0.0005,0.7586,1.1102,1.76,0.0069,0.3942,1.0528,2.94,0.0079,0.2678,1.0109,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNQ4,0.02,0.0001,0.4217,0.283,0.56,0.0014,0.2582,0.2843,0.98,0.0023,0.2347,0.283,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KCNT1,0.0,0.0,0.5228,0.0145,0.03,0.0002,0.5228,0.0154,0.03,0.0001,0.3225,0.0081,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KDF1,0.04,0.0002,0.5048,0.8998,1.26,0.0028,0.2187,0.8914,2.33,0.0051,0.2187,0.9381,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KDM3B,1.11,0.0081,0.7232,36.8826,34.75,0.1666,0.4793,37.5943,60.98,0.2619,0.4296,38.4127,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KDM4B,1.32,0.0131,0.9924,46.0615,38.48,0.2189,0.5687,45.6711,65.15,0.3059,0.4695,45.6424,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KDR,0.52,0.0051,0.9734,19.0544,15.16,0.0833,0.5497,18.9586,26.16,0.1235,0.4721,19.2711,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KIDINS220,1.81,0.0249,1.3742,110.1617,50.03,0.4373,0.874,110.8618,83.12,0.6465,0.7778,112.3673,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KIF1A,0.32,0.0026,0.8249,8.5549,9.33,0.0397,0.4252,8.3534,16.09,0.0566,0.352,8.4184,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KIF21A,1.66,0.0216,1.3029,93.0011,46.43,0.3696,0.7959,93.4479,77.63,0.5457,0.703,94.7298,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KIF5A,0.05,0.0003,0.5484,0.8417,1.52,0.0045,0.2987,0.83,2.72,0.0074,0.2722,0.8491,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KLF13,0.79,0.0055,0.6892,22.0875,24.75,0.1052,0.4252,22.3629,43.34,0.1624,0.3747,22.7403,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KLHL20,0.53,0.003,0.564,11.2614,16.57,0.0524,0.316,11.3198,29.77,0.0865,0.2907,11.6694,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
KRAS,1.61,0.0183,1.1395,98.6608,47.28,0.3611,0.7637,100.8331,83.04,0.5979,0.7201,104.5149,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LITAF,1.06,0.011,1.046,47.6143,30.64,0.1865,0.6087,47.8613,53.91,0.2922,0.542,49.4675,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LMX1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LOX,0.33,0.004,1.2078,13.3004,9.1,0.0575,0.6312,13.0028,15.7,0.0818,0.5211,13.3272,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LRP12,0.61,0.0034,0.5562,13.5398,19.21,0.0682,0.3549,13.7021,33.75,0.1042,0.3087,13.7962,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LRRK2,0.0,0.0,0.5198,0.0726,0.14,0.0003,0.2195,0.0692,0.25,0.0006,0.2195,0.0728,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LRSAM1,0.51,0.0035,0.6894,10.2311,15.55,0.0579,0.3721,9.9826,27.05,0.0804,0.2973,9.9873,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
LZTR1,0.36,0.0025,0.6981,6.9368,11.11,0.0413,0.3721,6.7396,19.2,0.0549,0.2858,6.6959,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MAB21L2,0.21,0.0015,0.7196,5.4058,6.53,0.0269,0.4129,5.3563,11.69,0.0428,0.366,5.5314,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MACF1,2.88,0.0701,2.4304,384.4702,61.02,1.0209,1.6732,387.3478,90.55,1.3862,1.5308,388.7609,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MAGEL2,0.12,0.0006,0.4882,2.1841,3.84,0.0104,0.2708,2.1902,6.98,0.0171,0.2453,2.2724,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MAP1B,3.86,0.1087,2.8163,555.416,66.1,1.2758,1.93,551.1352,92.54,1.6695,1.804,559.5074,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MAP2K1,1.04,0.0084,0.8108,31.6945,31.46,0.1521,0.4834,31.677,54.95,0.2245,0.4086,32.3556,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MAP2K2,2.01,0.0336,1.6773,135.6377,51.64,0.507,0.9819,135.3842,87.24,0.7754,0.8888,139.6767,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MAPK8IP3,0.51,0.0041,0.8033,10.0714,15.01,0.06,0.3998,9.5984,25.29,0.0781,0.3089,9.308,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MATR3,0.03,0.0001,0.5153,0.4571,0.88,0.0032,0.3612,0.4611,1.54,0.0047,0.3028,0.461,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MDM4,1.31,0.0133,1.0172,41.9764,37.77,0.2134,0.5651,41.1448,62.57,0.285,0.4555,40.0544,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MECOM,0.52,0.0042,0.8215,16.8776,15.69,0.0792,0.5046,16.9989,27.25,0.1183,0.4342,17.2736,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MED12L,0.43,0.0024,0.5637,8.613,13.46,0.0468,0.348,8.6455,23.1,0.0623,0.2695,8.5398,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MED13,1.2,0.0099,0.8253,39.9157,36.43,0.1836,0.504,40.1227,63.44,0.2835,0.4469,40.8226,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MEFV,0.0,0.0,0.2228,0.0218,0.05,0.0001,0.2228,0.0231,0.08,0.0002,0.2228,0.0243,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MESP1,0.22,0.0014,0.6229,4.4262,6.93,0.021,0.3035,4.3727,12.53,0.0364,0.2902,4.5206,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MET,0.04,0.0002,0.4489,0.7256,1.15,0.0038,0.3253,0.7531,2.02,0.005,0.2464,0.7602,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MFAP5,0.04,0.0003,0.8609,0.9215,1.14,0.0038,0.3298,0.853,2.05,0.0059,0.2895,0.8815,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MFN2,1.44,0.0166,1.1523,54.9938,39.82,0.2477,0.622,53.771,67.65,0.3573,0.5282,54.4005,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MIR96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MORC2,0.88,0.0054,0.6063,23.6693,27.95,0.1116,0.3993,24.0997,49.45,0.1795,0.363,24.6488,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MPL,0.0,0.0,0.3252,0.0073,0.02,0.0,0.3252,0.0077,0.03,0.0001,0.3252,0.0081,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MPZ,0.01,0.0001,0.4756,0.1887,0.36,0.0009,0.2369,0.1844,0.67,0.0016,0.2369,0.1941,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MRAS,1.45,0.0156,1.0737,70.6451,42.56,0.285,0.6695,71.4923,74.54,0.4581,0.6145,73.7281,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MSX2,0.14,0.0008,0.5625,2.8661,4.48,0.0142,0.3178,2.8511,8.07,0.0222,0.2744,2.9436,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MTAP,1.04,0.0077,0.7339,34.0963,32.4,0.1533,0.4731,34.6434,57.22,0.2467,0.4312,35.6308,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MTOR,1.1,0.0078,0.7094,35.8015,34.25,0.1592,0.4648,36.4877,60.5,0.2549,0.4214,37.4261,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MUC1,0.09,0.0004,0.4628,1.4657,2.81,0.009,0.3205,1.4909,4.96,0.0135,0.2715,1.4961,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH10,2.97,0.075,2.5252,479.5828,60.0,1.0409,1.7349,485.837,91.03,1.5,1.6478,498.2897,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH11,0.7,0.0086,1.2304,39.6835,19.61,0.1412,0.7204,39.9613,33.36,0.2103,0.6303,40.2727,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH14,0.07,0.0003,0.4727,1.6254,2.22,0.0059,0.2668,1.6446,3.98,0.0094,0.2371,1.6902,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH2,0.01,0.0,0.623,0.1234,0.2,0.0004,0.1851,0.1153,0.36,0.0007,0.1851,0.1213,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH6,7.85,0.2825,3.5982,2220.6555,80.46,2.1946,2.7277,2221.4246,89.29,2.3434,2.6244,2228.6814,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH7,8.54,0.3068,3.5914,1105.8689,82.15,1.8562,2.2594,1018.4209,90.83,1.7182,1.8916,983.8831,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYH9,2.16,0.0396,1.8377,180.8358,52.17,0.5614,1.0761,180.7403,83.32,0.7838,0.9407,183.7907,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYL2,1.32,0.0318,2.4148,70.6161,22.97,0.2126,0.9254,63.5384,35.83,0.2469,0.6892,62.7138,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYL3,7.19,0.2533,3.5225,1576.8314,77.56,1.9531,2.5183,1560.1345,89.85,2.214,2.4641,1604.8831,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYLK,0.62,0.0083,1.3275,33.6609,16.68,0.1154,0.6922,33.4061,28.68,0.1686,0.588,34.434,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYLK3,2.16,0.0429,1.9866,178.9855,49.7,0.5948,1.1969,177.2052,78.78,0.8446,1.0721,179.4885,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYO6,1.01,0.009,0.8859,36.1425,30.38,0.1619,0.5329,36.2956,52.62,0.2457,0.4669,36.9732,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYO7A,0.01,0.0,0.2211,0.1379,0.29,0.0006,0.2211,0.146,0.53,0.0012,0.2211,0.1537,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
MYOC,0.0,0.0,0.3746,0.0218,0.03,0.0001,0.3746,0.0231,0.06,0.0002,0.3746,0.0243,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NACC1,0.99,0.0077,0.7718,27.6747,29.95,0.1303,0.435,27.5041,52.59,0.1986,0.3776,28.0453,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NAF1,0.7,0.0038,0.5426,16.4495,22.2,0.0794,0.3576,16.7299,39.78,0.1302,0.3272,17.217,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEB,0.19,0.0012,0.6066,4.9559,6.02,0.0216,0.3581,4.9952,10.65,0.0336,0.3154,5.0624,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEDD4L,1.0,0.0082,0.8253,31.5784,29.82,0.1412,0.4735,31.4926,52.14,0.2209,0.4237,32.2182,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEFH,0.19,0.0009,0.502,4.5205,6.04,0.0208,0.344,4.6417,10.74,0.0325,0.3024,4.7389,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEFL,0.24,0.002,0.809,5.8484,7.18,0.0287,0.4002,5.6484,12.78,0.0455,0.3561,5.7902,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEK1,0.92,0.0061,0.6634,26.0203,28.65,0.1232,0.4302,26.3898,50.24,0.192,0.3821,26.8646,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEK8,0.18,0.0012,0.6354,3.3088,5.6,0.0183,0.3267,3.2353,9.76,0.0263,0.2695,3.2267,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEXN,3.5,0.0952,2.718,481.3098,61.64,1.1157,1.8101,476.5998,90.24,1.5124,1.6759,486.7659,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NFKB1,0.78,0.0048,0.615,20.259,24.49,0.0942,0.3847,20.5186,43.65,0.1515,0.347,21.1068,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NFKB2,0.33,0.0024,0.7257,6.8933,9.97,0.0349,0.3499,6.632,17.55,0.0502,0.286,6.6959,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NFKBIA,0.66,0.0049,0.7353,16.2826,20.15,0.0851,0.4222,16.1075,35.58,0.1282,0.3604,16.2546,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NKX2-1,0.0,0.0,0.1942,0.0653,0.06,0.0001,0.1942,0.0692,0.11,0.0002,0.1942,0.0728,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NOD2,0.0,0.0,1.9366,0.0145,0.02,0.0001,0.5083,0.0077,0.03,0.0001,0.5083,0.0081,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NOTCH2,1.22,0.012,0.9776,46.2429,35.61,0.1979,0.5556,46.0861,61.76,0.298,0.4825,47.0172,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NOVA2,0.0,0.0001,1.2108,0.0726,0.12,0.0008,0.6835,0.0615,0.2,0.0007,0.3465,0.0566,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NPRL2,0.45,0.0027,0.5994,8.8089,13.79,0.044,0.3192,8.6532,24.64,0.0692,0.2806,8.8551,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NR2F2,0.91,0.0102,1.1187,42.2086,26.15,0.1699,0.6497,42.3436,45.3,0.2606,0.5753,43.2568,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NRAS,1.23,0.0103,0.839,44.2766,37.34,0.193,0.5169,44.7413,66.22,0.3098,0.4679,46.1923,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NRL,0.08,0.0005,0.6192,1.3932,2.53,0.0079,0.3132,1.3602,4.57,0.0127,0.2789,1.399,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OPA1,1.52,0.0165,1.0848,69.4986,43.99,0.2892,0.6574,69.8247,76.56,0.4589,0.5994,71.7064,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OPA3,0.94,0.0062,0.6681,23.9378,29.06,0.1211,0.4168,24.0613,50.94,0.1858,0.3648,24.4305,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OPTN,1.33,0.0138,1.0394,61.9233,38.92,0.2472,0.635,62.4088,68.18,0.396,0.5808,64.3716,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ORAI1,1.12,0.0092,0.8234,34.713,33.84,0.16,0.4729,34.7817,60.44,0.2598,0.4298,35.9866,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OSBPL2,0.86,0.0061,0.7045,21.2458,26.34,0.1032,0.3919,21.0719,46.62,0.1613,0.3459,21.4707,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
