Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
PRPH2,0.03,0.0004,1.3752,1.8322,1.23,0.0084,0.6809,1.777,1.65,0.0107,0.6456,1.7948,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
PRSS1,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
PSMD12,1.72,0.0401,2.3277,231.3543,58.71,0.7929,1.3506,226.922,75.07,0.9418,1.2546,226.9479,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RAB7A,1.87,0.0445,2.384,226.9077,58.99,0.7837,1.3285,210.6909,74.56,0.905,1.2139,209.4165,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RAC1,2.93,0.0853,2.907,487.9301,71.72,1.3089,1.8249,455.9569,87.44,1.4877,1.7014,454.7127,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RAC2,0,0,1.0757,0.0298,0.02,0.0002,0.7168,0.0325,0.03,0.0002,0.7168,0.0333,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RAF1,0.94,0.0169,1.7946,85.4204,39.69,0.4097,1.0323,84.6935,51.71,0.4948,0.9568,84.2789,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RALA,1.69,0.0389,2.3076,209.2787,56.53,0.7282,1.2881,198.5067,72.26,0.858,1.1875,197.9196,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RANBP2,1.16,0.0205,1.7747,138.3884,52.1,0.6051,1.1614,151.7852,68.56,0.7593,1.1076,153.0268,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RARB,0.04,0.0005,1.0998,2.8354,2.3,0.0174,0.7532,3.2506,3.04,0.0211,0.695,3.234,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RBFOX2,2.54,0.0703,2.7645,442.9881,73.91,1.3501,1.8267,443.9786,91.06,1.5647,1.7183,443.377,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RBM20,0.06,0.0007,1.1364,4.2936,3.16,0.0223,0.7052,4.7242,4.21,0.0277,0.6583,4.7343,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RDH12,0.01,0.0001,1.2116,0.5271,0.37,0.0025,0.6642,0.5418,0.5,0.0032,0.6417,0.5501,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RELA,0.16,0.0022,1.3885,11.0017,7.44,0.0557,0.7485,11.0628,9.85,0.0684,0.6945,11.0634,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
REN,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RERE,1.71,0.0385,2.2566,272.1813,68.74,1.0692,1.5555,297.9306,87.29,1.2772,1.4632,297.4073,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RFX3,0.74,0.0114,1.5484,66.7413,34.17,0.3265,0.9553,70.9328,45.12,0.4064,0.9007,71.2373,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RFX6,0.01,0.0001,1.3817,0.7779,0.48,0.003,0.6211,0.753,0.64,0.0037,0.5843,0.7613,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RFX7,0.7,0.0109,1.5656,59.7569,31.44,0.2883,0.9171,61.517,41.52,0.3581,0.8624,61.7686,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RHBDF2,0.03,0.0003,1.1457,1.6579,1.36,0.0105,0.7756,1.8853,1.79,0.0128,0.7177,1.8726,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RHO,0,0,0.776,0.0043,0,0,0.776,0.0054,0.01,0,0.776,0.0056,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RHOBTB2,0.42,0.0068,1.6111,31.9381,18.38,0.1564,0.8509,30.7883,24.18,0.1901,0.7863,30.6898,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RIT1,0.42,0.0072,1.6915,32.2526,17.35,0.1452,0.8369,29.5097,22.63,0.1705,0.7536,29.2006,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RNF43,0.02,0.0002,0.9719,1.0755,0.92,0.0076,0.8241,1.3111,1.23,0.0098,0.7935,1.3225,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RP1,0,0.0001,1.2462,0.3188,0.25,0.0019,0.7738,0.3521,0.33,0.0025,0.7453,0.3556,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RPE65,0,0,0.882,0.0383,0.03,0.0003,0.882,0.0488,0.04,0.0004,0.882,0.05,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RPL5,4.31,0.1435,3.3321,986.4495,79.56,1.8937,2.3802,949.5988,91.98,2.0896,2.2719,950.0007,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RPS10,2,0.0506,2.5253,294.7458,61.08,0.9053,1.4821,289.7338,77.38,1.0708,1.3839,290.6614,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RRAS2,0.37,0.0058,1.5473,28.1079,16.26,0.1317,0.81,27.2831,21.39,0.1591,0.7438,27.2002,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RYR1,0.04,0.0004,1.0975,2.3253,1.9,0.015,0.7921,2.6492,2.51,0.0186,0.7414,2.645,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
RYR2,0.33,0.0044,1.337,26.0419,16.59,0.1463,0.8818,28.67,22.02,0.1845,0.8377,28.8172,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
