Dataset,Sample_ID,Cell_Type,Replicate,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Symbol,Detection_Rate_%,Mean_Log1pCPM_percell_All,Mean_Log1pCPM_percell_Only_Detected,Aggregated_CPM,Gene_Found
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GABRB2,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GABRB3,1.44,0.0502999983727932,3.4837000370025635,0.5291000008583069,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GABRD,0.23,0.008799999952316284,3.8201000690460205,0.09799999743700027,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GABRG2,1.15,0.040699999779462814,3.527600049972534,0.4115000069141388,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GANAB,87.19,4.068999767303467,4.666800022125244,106.93199920654297,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GARS1,0.0,0.0,0.0,0.0,False
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GBA1,0.0,0.0,0.0,0.0,False
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GDAP1,1.38,0.04780000075697899,3.4507999420166016,0.5291000008583069,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GDF2,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GFAP,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GFI1B,0.29,0.010200000368058681,3.5234999656677246,0.09799999743700027,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,1000,1733,4587.0,GGCX,48.93,1.88919997215271,3.8608999252319336,26.218599319458008,True
